cohort_id,week,contrast,ci_lo,ci_hi,sig_positive,condition,module
STAT0002_2021,6,0.687747526789245,-1.6417305192027052,4.257678634233182,FALSE,online,STAT0002
STAT0002_2021,11,2.106280355140281,-1.6023338225205368,4.794658308740631,FALSE,online,STAT0002
STAT0002_2223,6,3.5220072756384955,-0.13731409826545343,6.415644317813797,FALSE,in_person,STAT0002
STAT0002_2223,11,2.836201152585849,0.15690336736151,5.537756318474639,TRUE,in_person,STAT0002
STAT0004_2021,6,3.2739029936343687,-0.27787688104237923,4.760399145555696,FALSE,online,STAT0004
STAT0004_2021,11,2.911895067264104,-0.8494869552501876,4.765641998956308,FALSE,online,STAT0004
STAT0004_2122,6,-0.09706515717871467,-2.7748279419544466,3.9643392677522877,FALSE,hybrid,STAT0004
STAT0004_2122,11,0.5931752890210942,-2.6237460206323737,4.485990771727709,FALSE,hybrid,STAT0004
STAT0004_2223,6,3.607266968825268,0.35461979950617273,5.709784406769341,TRUE,in_person,STAT0004
STAT0004_2223,11,2.878974076702686,0.2595726451746709,5.7651213821597285,TRUE,in_person,STAT0004
