cohort_id,User,condition,class,label,final_grade
STAT0002_2021,710429,online,3,C3: Mid-variable,63.78
STAT0002_2021,710499,online,1,C1: Low-steady,54.15
STAT0002_2021,718925,online,1,C1: Low-steady,78.66
STAT0002_2021,718927,online,3,C3: Mid-variable,67.77
STAT0002_2021,718931,online,3,C3: Mid-variable,80.79
STAT0002_2021,718933,online,2,C2: High-steady,67.35
STAT0002_2021,718937,online,3,C3: Mid-variable,56.83
STAT0002_2021,718941,online,3,C3: Mid-variable,57.1
STAT0002_2021,718945,online,3,C3: Mid-variable,62.88
STAT0002_2021,718997,online,3,C3: Mid-variable,89.32
STAT0002_2021,719059,online,1,C1: Low-steady,84.12
STAT0002_2021,719067,online,3,C3: Mid-variable,40
STAT0002_2021,719081,online,2,C2: High-steady,70.71
STAT0002_2021,719083,online,1,C1: Low-steady,87.86
STAT0002_2021,719087,online,3,C3: Mid-variable,82.92
STAT0002_2021,719157,online,1,C1: Low-steady,59.75
STAT0002_2021,719219,online,3,C3: Mid-variable,82
STAT0002_2021,719243,online,2,C2: High-steady,69.84
STAT0002_2021,719255,online,1,C1: Low-steady,90.75
STAT0002_2021,719275,online,1,C1: Low-steady,68.36
STAT0002_2021,719283,online,1,C1: Low-steady,82
STAT0002_2021,738327,online,3,C3: Mid-variable,65.45
STAT0002_2021,738367,online,3,C3: Mid-variable,71.25
STAT0002_2021,738493,online,1,C1: Low-steady,73.58
STAT0002_2021,738517,online,1,C1: Low-steady,62.05
STAT0002_2021,738605,online,1,C1: Low-steady,74.83
STAT0002_2021,738619,online,3,C3: Mid-variable,79.1
STAT0002_2021,738725,online,3,C3: Mid-variable,74.84
STAT0002_2021,738729,online,1,C1: Low-steady,75.1
STAT0002_2021,738731,online,1,C1: Low-steady,64.9
STAT0002_2021,738779,online,3,C3: Mid-variable,64.23
STAT0002_2021,738837,online,3,C3: Mid-variable,67.75
STAT0002_2021,741119,online,1,C1: Low-steady,47.65
STAT0002_2021,741235,online,3,C3: Mid-variable,71.08
STAT0002_2021,741293,online,3,C3: Mid-variable,57.33
STAT0002_2021,741355,online,1,C1: Low-steady,77.66
STAT0002_2021,741497,online,3,C3: Mid-variable,75.58
STAT0002_2021,741619,online,3,C3: Mid-variable,40
STAT0002_2021,748382,online,3,C3: Mid-variable,19.43
STAT0002_2021,748395,online,1,C1: Low-steady,68.05
STAT0002_2021,748396,online,3,C3: Mid-variable,88.53
STAT0002_2021,748398,online,3,C3: Mid-variable,67.62
STAT0002_2021,748400,online,3,C3: Mid-variable,72
STAT0002_2021,748404,online,1,C1: Low-steady,81.74
STAT0002_2021,748416,online,1,C1: Low-steady,65.5
STAT0002_2021,748426,online,3,C3: Mid-variable,86.61
STAT0002_2021,748431,online,3,C3: Mid-variable,77.53
STAT0002_2021,748432,online,3,C3: Mid-variable,78.5
STAT0002_2021,748433,online,3,C3: Mid-variable,84.7
STAT0002_2021,748434,online,2,C2: High-steady,82.12
STAT0002_2021,748435,online,3,C3: Mid-variable,57.1
STAT0002_2021,748436,online,1,C1: Low-steady,61.61
STAT0002_2021,748437,online,3,C3: Mid-variable,53.9
STAT0002_2021,748439,online,2,C2: High-steady,55.2
STAT0002_2021,748440,online,2,C2: High-steady,61.05
STAT0002_2021,748442,online,2,C2: High-steady,66.78
STAT0002_2021,748444,online,3,C3: Mid-variable,92.47
STAT0002_2021,748445,online,3,C3: Mid-variable,78.58
STAT0002_2021,748446,online,3,C3: Mid-variable,66.12
STAT0002_2021,748448,online,3,C3: Mid-variable,83.74
STAT0002_2021,748449,online,2,C2: High-steady,74.5
STAT0002_2021,748451,online,3,C3: Mid-variable,72.03
STAT0002_2021,748452,online,3,C3: Mid-variable,77.92
STAT0002_2021,748453,online,1,C1: Low-steady,72.15
STAT0002_2021,748454,online,3,C3: Mid-variable,77.25
STAT0002_2021,748456,online,3,C3: Mid-variable,61.45
STAT0002_2021,748457,online,1,C1: Low-steady,4.11
STAT0002_2021,748458,online,3,C3: Mid-variable,77
STAT0002_2021,748459,online,3,C3: Mid-variable,90.44
STAT0002_2021,748460,online,3,C3: Mid-variable,70.7
STAT0002_2021,748461,online,3,C3: Mid-variable,68.91
STAT0002_2021,748462,online,1,C1: Low-steady,73.3
STAT0002_2021,748465,online,3,C3: Mid-variable,83.17
STAT0002_2021,748466,online,3,C3: Mid-variable,60.4
STAT0002_2021,748467,online,2,C2: High-steady,90.35
STAT0002_2021,748469,online,3,C3: Mid-variable,72.79
STAT0002_2021,748470,online,3,C3: Mid-variable,65.13
STAT0002_2021,748471,online,3,C3: Mid-variable,59.95
STAT0002_2021,748472,online,3,C3: Mid-variable,68.87
STAT0002_2021,748473,online,1,C1: Low-steady,47.96
STAT0002_2021,748474,online,1,C1: Low-steady,62.56
STAT0002_2021,748475,online,3,C3: Mid-variable,78.33
STAT0002_2021,748476,online,2,C2: High-steady,60.25
STAT0002_2021,748477,online,3,C3: Mid-variable,56.85
STAT0002_2021,748478,online,2,C2: High-steady,76.66
STAT0002_2021,748479,online,3,C3: Mid-variable,75.16
STAT0002_2021,748480,online,3,C3: Mid-variable,64.05
STAT0002_2021,748481,online,3,C3: Mid-variable,81.86
STAT0002_2021,748483,online,1,C1: Low-steady,74.25
STAT0002_2021,748484,online,3,C3: Mid-variable,61.45
STAT0002_2021,748486,online,3,C3: Mid-variable,64.38
STAT0002_2021,748487,online,2,C2: High-steady,59
STAT0002_2021,748488,online,2,C2: High-steady,69.21
STAT0002_2021,748928,online,3,C3: Mid-variable,57.04
STAT0002_2021,748931,online,1,C1: Low-steady,52.81
STAT0002_2021,748933,online,3,C3: Mid-variable,88.07
STAT0002_2021,748935,online,1,C1: Low-steady,51
STAT0002_2021,748937,online,1,C1: Low-steady,63.78
STAT0002_2021,748939,online,3,C3: Mid-variable,59
STAT0002_2021,748940,online,3,C3: Mid-variable,62.93
STAT0002_2021,748942,online,3,C3: Mid-variable,64.3
STAT0002_2021,758362,online,3,C3: Mid-variable,67.77
STAT0002_2021,758363,online,3,C3: Mid-variable,70.6
STAT0002_2021,758381,online,3,C3: Mid-variable,53.05
STAT0002_2021,758383,online,1,C1: Low-steady,72.44
STAT0002_2021,758385,online,3,C3: Mid-variable,53.41
STAT0002_2021,758390,online,1,C1: Low-steady,81
STAT0002_2021,758393,online,1,C1: Low-steady,61.13
STAT0002_2021,758404,online,3,C3: Mid-variable,59.65
STAT0002_2021,758409,online,3,C3: Mid-variable,82.53
STAT0002_2021,758428,online,3,C3: Mid-variable,46.83
STAT0002_2021,758430,online,1,C1: Low-steady,84.57
STAT0002_2021,758445,online,1,C1: Low-steady,55.83
STAT0002_2021,758448,online,3,C3: Mid-variable,73.12
STAT0002_2021,758451,online,3,C3: Mid-variable,81.78
STAT0002_2021,758495,online,1,C1: Low-steady,74.92
STAT0002_2021,758500,online,3,C3: Mid-variable,69.65
STAT0002_2021,758502,online,1,C1: Low-steady,72.65
STAT0002_2021,758505,online,3,C3: Mid-variable,49.68
STAT0002_2021,758526,online,1,C1: Low-steady,34.67
STAT0002_2021,758530,online,2,C2: High-steady,81.7
STAT0002_2021,758532,online,3,C3: Mid-variable,55.55
STAT0002_2021,758538,online,1,C1: Low-steady,53.32
STAT0002_2021,758539,online,1,C1: Low-steady,66.78
STAT0002_2021,758546,online,3,C3: Mid-variable,70.58
STAT0002_2021,758547,online,3,C3: Mid-variable,84.04
STAT0002_2021,758551,online,3,C3: Mid-variable,77.53
STAT0002_2021,758568,online,2,C2: High-steady,76.33
STAT0002_2021,758575,online,3,C3: Mid-variable,64
STAT0002_2021,758577,online,3,C3: Mid-variable,80.17
STAT0002_2021,758586,online,2,C2: High-steady,48.1
STAT0002_2021,758589,online,2,C2: High-steady,72.62
STAT0002_2021,758595,online,3,C3: Mid-variable,80.04
STAT0002_2021,758603,online,3,C3: Mid-variable,84.92
STAT0002_2021,758604,online,3,C3: Mid-variable,85.24
STAT0002_2021,758609,online,3,C3: Mid-variable,79.67
STAT0002_2021,758613,online,1,C1: Low-steady,61
STAT0002_2021,758614,online,1,C1: Low-steady,73.12
STAT0002_2021,758616,online,3,C3: Mid-variable,45.96
STAT0002_2021,758620,online,2,C2: High-steady,70.91
STAT0002_2021,758621,online,3,C3: Mid-variable,91.35
STAT0002_2021,758622,online,3,C3: Mid-variable,58.08
STAT0002_2021,758626,online,1,C1: Low-steady,64.75
STAT0002_2021,758630,online,3,C3: Mid-variable,80.5
STAT0002_2021,758634,online,3,C3: Mid-variable,68.77
STAT0002_2021,758635,online,3,C3: Mid-variable,69.29
STAT0002_2021,758638,online,1,C1: Low-steady,57.67
STAT0002_2021,758639,online,1,C1: Low-steady,65.33
STAT0002_2021,761016,online,3,C3: Mid-variable,75.48
STAT0002_2021,761032,online,1,C1: Low-steady,66.7
STAT0002_2021,761033,online,1,C1: Low-steady,67.71
STAT0002_2021,761039,online,3,C3: Mid-variable,85.7
STAT0002_2021,761053,online,3,C3: Mid-variable,63.48
STAT0002_2021,761055,online,3,C3: Mid-variable,67.01
STAT0002_2021,761056,online,3,C3: Mid-variable,63.4
STAT0002_2021,761057,online,1,C1: Low-steady,73.1
STAT0002_2021,761058,online,3,C3: Mid-variable,84.56
STAT0002_2021,761059,online,1,C1: Low-steady,68.45
STAT0002_2021,761060,online,1,C1: Low-steady,51.7
STAT0002_2021,761061,online,3,C3: Mid-variable,79.62
STAT0002_2021,761062,online,2,C2: High-steady,58.9
STAT0002_2021,761063,online,2,C2: High-steady,68.15
STAT0002_2021,761064,online,3,C3: Mid-variable,83.12
STAT0002_2021,761065,online,1,C1: Low-steady,85.35
STAT0002_2021,761066,online,3,C3: Mid-variable,70.14
STAT0002_2021,761067,online,1,C1: Low-steady,63.98
STAT0002_2021,761070,online,2,C2: High-steady,78.67
STAT0002_2021,761071,online,1,C1: Low-steady,61.5
STAT0002_2021,761072,online,3,C3: Mid-variable,50.5
STAT0002_2021,761073,online,3,C3: Mid-variable,68.72
STAT0002_2021,761074,online,3,C3: Mid-variable,80.33
STAT0002_2021,761075,online,3,C3: Mid-variable,69.52
STAT0002_2021,761076,online,2,C2: High-steady,77.33
STAT0002_2021,761077,online,2,C2: High-steady,85.49
STAT0002_2021,761079,online,3,C3: Mid-variable,82.89
STAT0002_2021,761080,online,3,C3: Mid-variable,64.07
STAT0002_2021,761081,online,3,C3: Mid-variable,80.17
STAT0002_2021,761083,online,2,C2: High-steady,69.95
STAT0002_2021,761084,online,1,C1: Low-steady,62.59
STAT0002_2021,761085,online,1,C1: Low-steady,59.02
STAT0002_2021,761086,online,1,C1: Low-steady,67.35
STAT0002_2021,761087,online,1,C1: Low-steady,59.33
STAT0002_2021,761088,online,3,C3: Mid-variable,86.16
STAT0002_2021,761089,online,3,C3: Mid-variable,73.08
STAT0002_2021,761090,online,3,C3: Mid-variable,76
STAT0002_2021,761091,online,1,C1: Low-steady,82.49
STAT0002_2021,761093,online,1,C1: Low-steady,63.48
STAT0002_2021,761094,online,1,C1: Low-steady,81.67
STAT0002_2021,761095,online,3,C3: Mid-variable,66.89
STAT0002_2021,761096,online,3,C3: Mid-variable,55.7
STAT0002_2021,761097,online,2,C2: High-steady,92.18
STAT0002_2021,761098,online,1,C1: Low-steady,62.5
STAT0002_2021,761099,online,3,C3: Mid-variable,55
STAT0002_2021,761100,online,3,C3: Mid-variable,56.75
STAT0002_2021,761101,online,3,C3: Mid-variable,70.9
STAT0002_2021,761102,online,3,C3: Mid-variable,69.71
STAT0002_2021,761103,online,1,C1: Low-steady,77.33
STAT0002_2021,761104,online,1,C1: Low-steady,63.06
STAT0002_2021,761105,online,1,C1: Low-steady,69.84
STAT0002_2021,761106,online,3,C3: Mid-variable,64.02
STAT0002_2021,761107,online,2,C2: High-steady,80.28
STAT0002_2021,761108,online,1,C1: Low-steady,51.67
STAT0002_2021,761109,online,2,C2: High-steady,50.15
STAT0002_2021,761110,online,2,C2: High-steady,67
STAT0002_2021,761111,online,1,C1: Low-steady,64.66
STAT0002_2021,761112,online,3,C3: Mid-variable,60.37
STAT0002_2021,761113,online,2,C2: High-steady,81.32
STAT0002_2021,761114,online,3,C3: Mid-variable,42.55
STAT0002_2021,761115,online,3,C3: Mid-variable,50.28
STAT0002_2021,761116,online,3,C3: Mid-variable,59.18
STAT0002_2021,761117,online,1,C1: Low-steady,70.6
STAT0002_2021,761118,online,1,C1: Low-steady,63.53
STAT0002_2021,761119,online,1,C1: Low-steady,57.56
STAT0002_2021,761120,online,1,C1: Low-steady,61.75
STAT0002_2021,761121,online,3,C3: Mid-variable,83.45
STAT0002_2021,761123,online,2,C2: High-steady,73.45
STAT0002_2021,761124,online,3,C3: Mid-variable,61.08
