cohort_id,condition,threshold,recall_cum,recall_wk,prec_cum
STAT0002_2021,online,0.1,0.2647058823529412,0.38235294117647056,0.2571428571428571
STAT0002_2223,in_person,0.1,0.25,0.32142857142857145,0.25925925925925924
STAT0004_2021,online,0.1,0.20512820512820512,0.5128205128205128,0.25
STAT0004_2122,hybrid,0.1,0,1,0
STAT0004_2223,in_person,0.1,0.42857142857142855,0.8571428571428571,0.15
STAT0002_2021,online,0.2,0.38235294117647056,0.38235294117647056,0.18840579710144928
STAT0002_2223,in_person,0.2,0.32142857142857145,0.32142857142857145,0.16666666666666666
STAT0004_2021,online,0.2,0.38461538461538464,0.5128205128205128,0.23809523809523808
STAT0004_2122,hybrid,0.2,0.6666666666666666,1,0.05714285714285714
STAT0004_2223,in_person,0.2,0.42857142857142855,0.8571428571428571,0.075
STAT0002_2021,online,0.3,0.5588235294117647,0.47058823529411764,0.18446601941747573
STAT0002_2223,in_person,0.3,0.5357142857142857,0.5,0.1875
STAT0004_2021,online,0.3,0.5641025641025641,0.5128205128205128,0.23404255319148937
STAT0004_2122,hybrid,0.3,1,1,0.057692307692307696
STAT0004_2223,in_person,0.3,0.42857142857142855,0.8571428571428571,0.05084745762711865
